locality,shoreline_extent_m,shoreline_units_100m
ARANHAS LESTE,479.368,4.79368
ARANHAS OESTE,493.065,4.93065
BAIA DAS TARTARUGAS,470.878,4.70878
CAMPECHE NORTE,544.656,5.44656
CAMPECHE SUL,682.266,6.82266
COSTA DO ELEFANTE,667.941,6.679410000000001
COSTAO DO SACO DAGUA,433.933,4.33933
DESERTA NORTE,529.261,5.29261
DESERTA SUL,430.746,4.30746
ENGENHO,430.834,4.30834
ENSEADA DO LILI,634.057,6.3405700000000005
ESTALEIRO 1,801.763,8.01763
ESTALEIRO 2,662.461,6.6246100000000006
FAROL,561.107,5.61107
GALE SUL,157.151,1.5715100000000002
ILHA DO CORAL,554.886,5.5488599999999995
ILHA DOS LOBOS,850.642,8.50642
ILHA PORTO BELO,480.381,4.8038099999999995
IRMA DE FORA,373.717,3.73717
IRMA DO MEIO,543.214,5.43214
LAGOINHA DO NORTE,1022.968,10.22968
LETREIRO,471.629,4.71629
MACUCO,955.613,9.556130000000001
MACUCO SUL,673.9,6.739
MATA FOME,409.243,4.09243
MOLEQUES DO SUL,309.525,3.0952499999999996
NAUFRAGIO DO LILI,93.052,0.93052
PEDRA DO ELEFANTE,265.827,2.65827
PONTA DAS CANAS,663.035,6.63035
PONTA DO MEIO,314.53,3.1452999999999998
PORTINHO NORTE,422.674,4.2267399999999995
PORTINHO SUL,401.159,4.01159
RANCHO NORTE,702.405,7.02405
SACO DA MULATA NORTE,407.004,4.0700400000000005
SACO DA MULATA SUL,554.63,5.5463
SACO DAGUA,558.439,5.58439
SACO DAS BALAS,688.834,6.8883399999999995
SACO DO BATISMO,413.894,4.13894
SACO DO CAPIM,539.427,5.394270000000001
SACO DO LETREIRO,209.276,2.09276
SAQUINHO DAGUA,289.082,2.8908199999999997
SEPULTURA,478.633,4.7863299999999995
TAMBORETES NORTE,814.655,8.14655
TAMBORETES SUL,942.781,9.42781
TIPITINGA,503.018,5.03018
TOCA DA SALEMA,222.047,2.22047
VIDAL,391.929,3.9192899999999997
XAVIER,652.198,6.52198
