localidade,region,total_effort_minutes,total_effort_hours,total_positive_detections,total_weighted_score,shoreline_extent_m,shoreline_units_100m,total_dpue,total_raiw
COSTA DO ELEFANTE,REBIO,130,2.1666666666666665,0,0,667.941,6.679410000000001,0,0
PORTINHO NORTE,REBIO,124,2.066666666666667,0,0,422.674,4.2267399999999995,0,0
PORTINHO SUL,REBIO,157,2.6166666666666667,0,0,401.159,4.01159,0,0
SACO DA MULATA NORTE,REBIO,97,1.6166666666666667,0,0,407.004,4.0700400000000005,0,0
SACO DA MULATA SUL,REBIO,40,0.6666666666666666,0,0,554.63,5.5463,0,0
SACO DAGUA,REBIO,400,6.666666666666667,0,0,558.439,5.58439,0,0
ARANHAS LESTE,SURROUNDINGS,110,1.8333333333333333,0,0,479.368,4.79368,0,0
ARANHAS OESTE,SURROUNDINGS,133,2.216666666666667,0,0,493.065,4.93065,0,0
CAMPECHE NORTE,SURROUNDINGS,120,2,0,0,544.656,5.44656,0,0
CAMPECHE SUL,SURROUNDINGS,259,4.316666666666666,0,0,682.266,6.82266,0,0
ESTALEIRO 1,SURROUNDINGS,308,5.133333333333333,0,0,801.763,8.01763,0,0
ESTALEIRO 2,SURROUNDINGS,308,5.133333333333333,0,0,662.461,6.6246100000000006,0,0
ILHA DO CORAL,SURROUNDINGS,90,1.5,0,0,554.886,5.5488599999999995,0,0
ILHA DOS LOBOS,SURROUNDINGS,100,1.6666666666666667,0,0,850.642,8.50642,0,0
ILHA PORTO BELO,SURROUNDINGS,308,5.133333333333333,0,0,480.381,4.8038099999999995,0,0
IRMA DE FORA,SURROUNDINGS,70,1.1666666666666667,0,0,373.717,3.73717,0,0
IRMA DO MEIO,SURROUNDINGS,98,1.6333333333333333,0,0,543.214,5.43214,0,0
LAGOINHA DO NORTE,SURROUNDINGS,61,1.0166666666666666,0,0,1022.968,10.22968,0,0
MACUCO,SURROUNDINGS,292,4.866666666666666,0,0,955.613,9.556130000000001,0,0
MACUCO SUL,SURROUNDINGS,60,1,0,0,673.9,6.739,0,0
MATA FOME,SURROUNDINGS,358,5.966666666666667,0,0,409.243,4.09243,0,0
MOLEQUES DO SUL,SURROUNDINGS,42,0.7,0,0,309.525,3.0952499999999996,0,0
PONTA DAS CANAS,SURROUNDINGS,33,0.55,0,0,663.035,6.63035,0,0
SEPULTURA,SURROUNDINGS,60,1,0,0,478.633,4.7863299999999995,0,0
TAMBORETES NORTE,SURROUNDINGS,119,1.9833333333333334,0,0,814.655,8.14655,0,0
TAMBORETES SUL,SURROUNDINGS,188,3.1333333333333333,0,0,942.781,9.42781,0,0
TIPITINGA,SURROUNDINGS,88,1.4666666666666666,0,0,503.018,5.03018,0,0
XAVIER,SURROUNDINGS,355,5.916666666666667,0,0,652.198,6.52198,0,0
