localidade,raiw_manual,raiw_moderate,raiw_linear,rank_manual,rank_moderate,rank_linear,diff_moderate,diff_linear,max_abs_change
BAIA DAS TARTARUGAS,0.06106384921021114,0.06955861855598647,0.08371656746561204,9,10,11,-1,-2,2
COSTAO DO SACO DAGUA,0.18898706023216028,0.20019815702559352,0.21354470082729976,7,8,8,-1,-1,1
DESERTA SUL,0.1325584300688825,0.22604825706013043,0.33826658504908075,8,7,7,1,1,1
ENGENHO,2.495962541530515,2.7918248493634095,3.13883321345647,1,2,2,-1,-1,1
ENSEADA DO LILI,0.04352649852603022,0.10881624631507557,0.18088347657357198,10,9,9,1,1,1
NAUFRAGIO DO LILI,2.2757673761160744,5.6894184402901855,9.103069504464298,2,1,1,1,1,1
SACO DO BATISMO,0.021301472657583663,0.053253681643959154,0.08984475951947052,11,11,10,0,1,1
ARANHAS LESTE,0,0,0,16,16,16,0,0,0
ARANHAS OESTE,0,0,0,16,16,16,0,0,0
CAMPECHE NORTE,0,0,0,16,16,16,0,0,0
CAMPECHE SUL,0,0,0,16,16,16,0,0,0
COSTA DO ELEFANTE,0,0,0,16,16,16,0,0,0
DESERTA NORTE,0.0031273273749494175,0.007818318437373543,0.015636636874747086,13,13,13,0,0,0
ESTALEIRO 1,0,0,0,16,16,16,0,0,0
ESTALEIRO 2,0,0,0,16,16,16,0,0,0
FAROL,0.24538003888385967,0.29908409950006293,0.36292731282709906,6,6,6,0,0,0
ILHA DO CORAL,0,0,0,16,16,16,0,0,0
ILHA DOS LOBOS,0,0,0,16,16,16,0,0,0
ILHA PORTO BELO,0,0,0,16,16,16,0,0,0
IRMA DE FORA,0,0,0,16,16,16,0,0,0
IRMA DO MEIO,0,0,0,16,16,16,0,0,0
LAGOINHA DO NORTE,0,0,0,16,16,16,0,0,0
LETREIRO,0.0023236281292263712,0.005809070323065928,0.011618140646131855,15,15,15,0,0,0
MACUCO,0,0,0,16,16,16,0,0,0
MACUCO SUL,0,0,0,16,16,16,0,0,0
MATA FOME,0,0,0,16,16,16,0,0,0
MOLEQUES DO SUL,0,0,0,16,16,16,0,0,0
PEDRA DO ELEFANTE,1.9728190568624384,2.44922986969506,2.9718576367336653,3,3,3,0,0,0
PONTA DAS CANAS,0,0,0,16,16,16,0,0,0
PORTINHO NORTE,0,0,0,16,16,16,0,0,0
PORTINHO SUL,0,0,0,16,16,16,0,0,0
RANCHO NORTE,0.4320291846718908,0.5029053654846467,0.6133367655566387,5,5,5,0,0,0
SACO DA MULATA NORTE,0,0,0,16,16,16,0,0,0
SACO DA MULATA SUL,0,0,0,16,16,16,0,0,0
SACO DAGUA,0,0,0,16,16,16,0,0,0
SACO DO CAPIM,0.0025136528267769884,0.00628413206694247,0.01256826413388494,14,14,14,0,0,0
SAQUINHO DAGUA,0.015094804808450074,0.037737012021125185,0.07547402404225037,12,12,12,0,0,0
SEPULTURA,0,0,0,16,16,16,0,0,0
TAMBORETES NORTE,0,0,0,16,16,16,0,0,0
TAMBORETES SUL,0,0,0,16,16,16,0,0,0
TIPITINGA,0,0,0,16,16,16,0,0,0
VIDAL,0.9087544531797025,1.0028862387547142,1.1486791457032297,4,4,4,0,0,0
XAVIER,0,0,0,16,16,16,0,0,0
