localidade,year,region,n_minutes,n_transects,effort_minutes,effort_hours,n_positive,sum_weight,shoreline_m,uni100m,denominator,dpue,rai_w
ARANHAS LESTE,2023,SURROUNDINGS,110,3,110,1.8333333333333333,0,0,479.368,4.79368,8.788413333333333,0,0
ARANHAS OESTE,2023,SURROUNDINGS,133,3,133,2.216666666666667,0,0,493.065,4.93065,10.929607500000001,0,0
BAIA DAS TARTARUGAS,2022,NEAR_REBIO,90,2,90,1.5,1,0.04,470.878,4.70878,7.0631699999999995,0.14157948909625565,0.005663179563850226
BAIA DAS TARTARUGAS,2025,NEAR_REBIO,138,3,138,2.3,1,0.6,470.878,4.70878,10.830193999999999,0.09233444941060152,0.05540066964636091
CAMPECHE NORTE,2025,SURROUNDINGS,120,2,120,2,0,0,544.656,5.44656,10.89312,0,0
CAMPECHE SUL,2024,SURROUNDINGS,259,4,259,4.316666666666666,0,0,682.266,6.82266,29.451148999999997,0,0
COSTA DO ELEFANTE,2023,REBIO,130,3,130,2.1666666666666665,0,0,667.941,6.679410000000001,14.472055000000001,0,0
COSTAO DO SACO DAGUA,2022,REBIO,50,1,50,0.8333333333333334,0,0,433.933,4.33933,3.616108333333334,0,0
COSTAO DO SACO DAGUA,2024,REBIO,259,5,259,4.316666666666666,6,3.54,433.933,4.33933,18.731441166666666,0.3203170512409496,0.18898706023216028
DESERTA NORTE,2023,REBIO,98,2,98,1.6333333333333333,0,0,529.261,5.29261,8.644596333333332,0,0
DESERTA NORTE,2025,REBIO,145,3,145,2.4166666666666665,1,0.04,529.261,5.29261,12.790474166666666,0.07818318437373543,0.0031273273749494175
DESERTA SUL,2023,REBIO,69,2,69,1.15,1,0.1,430.746,4.30746,4.9535789999999995,0.20187424082668312,0.020187424082668312
DESERTA SUL,2025,REBIO,119,3,119,1.9833333333333334,7,0.96,430.746,4.30746,8.543129,0.8193719186494783,0.11237100598621418
ENGENHO,2022,NEAR_REBIO,30,1,30,0.5,1,0.1,430.834,4.30834,2.15417,0.4642159161068996,0.04642159161068996
ENGENHO,2023,NEAR_REBIO,87,2,87,1.45,13,6.68,430.834,4.30834,6.2470930000000005,2.0809678997895498,1.0692973515841686
ENGENHO,2025,NEAR_REBIO,247,4,247,4.116666666666666,58,24.48,430.834,4.30834,17.735999666666665,3.2701849960567024,1.3802435983356565
ENSEADA DO LILI,2023,REBIO,122,2,122,2.033333333333333,1,0.04,634.057,6.3405700000000005,12.892492333333333,0.07756452159482895,0.003102580863793158
ENSEADA DO LILI,2025,REBIO,103,3,103,1.7166666666666666,5,0.44,634.057,6.3405700000000005,10.884645166666667,0.4593627007072394,0.04042391766223707
ESTALEIRO 1,2023,SURROUNDINGS,160,3,160,2.6666666666666665,0,0,801.763,8.01763,21.380346666666668,0,0
ESTALEIRO 1,2024,SURROUNDINGS,148,3,148,2.466666666666667,0,0,801.763,8.01763,19.77682066666667,0,0
ESTALEIRO 2,2023,SURROUNDINGS,168,3,168,2.8,0,0,662.461,6.6246100000000006,18.548908,0,0
