localidade,year,effort_minutes,effort_hours,sum_manual,sum_moderate,sum_linear,Uni100m,denominator,raiw_manual,raiw_moderate,raiw_linear
ARANHAS LESTE,2023,110,1.8333333333333333,0,0,0,4.79368,8.788413333333333,0,0,0
ARANHAS OESTE,2023,133,2.216666666666667,0,0,0,4.93065,10.929607500000001,0,0,0
BAIA DAS TARTARUGAS,2022,90,1.5,0.04,0.1,0.2,4.70878,7.0631699999999995,0.005663179563850226,0.014157948909625566,0.028315897819251132
BAIA DAS TARTARUGAS,2025,138,2.3,0.6,0.6,0.6,4.70878,10.830193999999999,0.05540066964636091,0.05540066964636091,0.05540066964636091
CAMPECHE NORTE,2025,120,2,0,0,0,5.44656,10.89312,0,0,0
CAMPECHE SUL,2024,259,4.316666666666666,0,0,0,6.82266,29.451148999999997,0,0,0
COSTA DO ELEFANTE,2023,130,2.1666666666666665,0,0,0,6.679410000000001,14.472055000000001,0,0,0
COSTAO DO SACO DAGUA,2022,50,0.8333333333333334,0,0,0,4.33933,3.616108333333334,0,0,0
COSTAO DO SACO DAGUA,2024,259,4.316666666666666,3.54,3.75,4,4.33933,18.731441166666666,0.18898706023216028,0.20019815702559352,0.21354470082729976
DESERTA NORTE,2023,98,1.6333333333333333,0,0,0,5.29261,8.644596333333332,0,0,0
DESERTA NORTE,2025,145,2.4166666666666665,0.04,0.1,0.2,5.29261,12.790474166666666,0.0031273273749494175,0.007818318437373543,0.015636636874747086
DESERTA SUL,2023,69,1.15,0.1,0.25,0.4,4.30746,4.9535789999999995,0.020187424082668312,0.05046856020667078,0.08074969633067325
DESERTA SUL,2025,119,1.9833333333333334,0.96,1.5,2.2,4.30746,8.543129,0.11237100598621418,0.17557969685345964,0.2575168887184075
ENGENHO,2022,30,0.5,0.1,0.25,0.4,4.30834,2.15417,0.04642159161068996,0.1160539790267249,0.18568636644275985
ENGENHO,2023,87,1.45,6.68,7.1000000000000005,7.6000000000000005,4.30834,6.2470930000000005,1.0692973515841686,1.1365286221927542,1.216565849107737
ENGENHO,2025,247,4.116666666666666,24.48,27.3,30.8,4.30834,17.735999666666665,1.3802435983356565,1.5392422481439305,1.736580997905973
ENSEADA DO LILI,2023,122,2.033333333333333,0.04,0.1,0.2,6.3405700000000005,12.892492333333333,0.003102580863793158,0.007756452159482895,0.01551290431896579
ENSEADA DO LILI,2025,103,1.7166666666666666,0.44,1.1,1.8,6.3405700000000005,10.884645166666667,0.04042391766223707,0.10105979415559267,0.1653705722546062
ESTALEIRO 1,2023,160,2.6666666666666665,0,0,0,8.01763,21.380346666666668,0,0,0
ESTALEIRO 1,2024,148,2.466666666666667,0,0,0,8.01763,19.77682066666667,0,0,0
ESTALEIRO 2,2023,168,2.8,0,0,0,6.6246100000000006,18.548908,0,0,0
ESTALEIRO 2,2024,140,2.3333333333333335,0,0,0,6.6246100000000006,15.457423333333336,0,0,0
FAROL,2023,186,3.1,2.92,3.1,3.4,5.61107,17.394317,0.1678709201401814,0.17821912754608302,0.19546613988925232
FAROL,2024,132,2.2,0.64,0.7,0.8,5.61107,12.344354000000001,0.051845564377042325,0.05670608603739004,0.06480695547130291
FAROL,2025,125,2.0833333333333335,0.30000000000000004,0.75,1.2000000000000002,5.61107,11.689729166666668,0.025663554366635956,0.06415888591658987,0.10265421746654382
ILHA DO CORAL,2025,90,1.5,0,0,0,5.5488599999999995,8.32329,0,0,0
ILHA DOS LOBOS,2023,100,1.6666666666666667,0,0,0,8.50642,14.177366666666668,0,0,0
ILHA PORTO BELO,2023,178,2.966666666666667,0,0,0,4.8038099999999995,14.251302999999998,0,0,0
ILHA PORTO BELO,2024,130,2.1666666666666665,0,0,0,4.8038099999999995,10.408254999999999,0,0,0
IRMA DE FORA,2025,70,1.1666666666666667,0,0,0,3.73717,4.360031666666667,0,0,0
IRMA DO MEIO,2025,98,1.6333333333333333,0,0,0,5.43214,8.872495333333333,0,0,0
LAGOINHA DO NORTE,2024,61,1.0166666666666666,0,0,0,10.22968,10.400174666666667,0,0,0
LETREIRO,2022,120,2,0,0,0,4.71629,9.43258,0,0,0
LETREIRO,2023,50,0.8333333333333334,0,0,0,4.71629,3.930241666666667,0,0,0
LETREIRO,2024,219,3.65,0.04,0.1,0.2,4.71629,17.2144585,0.0023236281292263712,0.005809070323065928,0.011618140646131855
MACUCO,2023,117,1.95,0,0,0,9.556130000000001,18.634453500000003,0,0,0
MACUCO,2024,175,2.9166666666666665,0,0,0,9.556130000000001,27.872045833333335,0,0,0
MACUCO SUL,2024,60,1,0,0,0,6.739,6.739,0,0,0
MATA FOME,2023,124,2.066666666666667,0,0,0,4.09243,8.457688666666668,0,0,0
MATA FOME,2025,234,3.9,0,0,0,4.09243,15.960477000000001,0,0,0
MOLEQUES DO SUL,2025,42,0.7,0,0,0,3.0952499999999996,2.1666749999999997,0,0,0
NAUFRAGIO DO LILI,2025,34,0.5666666666666667,1.2000000000000002,3,4.800000000000001,0.93052,0.5272946666666667,2.2757673761160744,5.6894184402901855,9.103069504464298
PEDRA DO ELEFANTE,2022,56,0.9333333333333333,0.34,0.85,1.4000000000000001,2.65827,2.481052,0.1370386432851871,0.3425966082129677,0.5642767664684175
PEDRA DO ELEFANTE,2024,30,0.5,2.44,2.8000000000000003,3.2,2.65827,1.329135,1.8357804135772513,2.106633261482092,2.4075808702652477
PONTA DAS CANAS,2024,33,0.55,0,0,0,6.63035,3.6466925000000003,0,0,0
PORTINHO NORTE,2023,124,2.066666666666667,0,0,0,4.2267399999999995,8.735262666666667,0,0,0
PORTINHO SUL,2023,157,2.6166666666666667,0,0,0,4.01159,10.496993833333333,0,0,0
RANCHO NORTE,2022,60,1,0.04,0.1,0.2,7.02405,7.02405,0.005694720282458126,0.014236800706145317,0.028473601412290633
RANCHO NORTE,2023,45,0.75,0,0,0,7.02405,5.2680375,0,0,0
RANCHO NORTE,2024,111,1.85,5.54,6.3500000000000005,7.6000000000000005,7.02405,12.9944925,0.4263344643894327,0.4886685647785014,0.5848631641443481
SACO DA MULATA NORTE,2023,97,1.6166666666666667,0,0,0,4.0700400000000005,6.579898000000001,0,0,0
SACO DA MULATA SUL,2023,40,0.6666666666666666,0,0,0,5.5463,3.697533333333333,0,0,0
SACO DAGUA,2022,60,1,0,0,0,5.58439,5.58439,0,0,0
SACO DAGUA,2024,340,5.666666666666667,0,0,0,5.58439,31.64487666666667,0,0,0
SACO DO BATISMO,2022,82,1.3666666666666667,0,0,0,4.13894,5.656551333333333,0,0,0
SACO DO BATISMO,2023,125,2.0833333333333335,0.04,0.1,0.2,4.13894,8.622791666666666,0.0046388688891358665,0.011597172222839666,0.023194344445679332
SACO DO BATISMO,2025,174,2.9,0.2,0.5,0.8,4.13894,12.002925999999999,0.016662603768447797,0.04165650942111949,0.06665041507379119
SACO DO CAPIM,2023,177,2.95,0.04,0.1,0.2,5.394270000000001,15.913096500000002,0.0025136528267769884,0.00628413206694247,0.01256826413388494
SACO DO CAPIM,2025,131,2.183333333333333,0,0,0,5.394270000000001,11.7774895,0,0,0
SAQUINHO DAGUA,2024,110,1.8333333333333333,0.08,0.2,0.4,2.8908199999999997,5.299836666666666,0.015094804808450074,0.037737012021125185,0.07547402404225037
SEPULTURA,2023,60,1,0,0,0,4.7863299999999995,4.7863299999999995,0,0,0
TAMBORETES NORTE,2023,119,1.9833333333333334,0,0,0,8.14655,16.157324166666665,0,0,0
TAMBORETES SUL,2023,188,3.1333333333333333,0,0,0,9.42781,29.54047133333333,0,0,0
TIPITINGA,2023,88,1.4666666666666666,0,0,0,5.03018,7.377597333333332,0,0,0
VIDAL,2023,138,2.3,2.18,2.45,2.8,3.9192899999999997,9.014366999999998,0.2418361710811198,0.2717883574076805,0.31061526560877767
VIDAL,2024,65,1.0833333333333333,2.16,2.4,2.8,3.9192899999999997,4.245897499999999,0.5087263646849696,0.5652515163166328,0.6594601023694049
VIDAL,2025,120,2,1.24,1.3,1.4,3.9192899999999997,7.838579999999999,0.1581919174136132,0.16584636503040093,0.17860377772504715
XAVIER,2024,355,5.916666666666667,0,0,0,6.52198,38.58838166666667,0,0,0
