localidade,region,year,effort_minutes,n_positive,shoreline_m,uni100m,denominator,dpue,rai_w
NAUFRAGIO DO LILI,REBIO,2025,34,12,93.052,0.93052,0.5272946666666667,22.757673761160742,2.2757673761160744
PEDRA DO ELEFANTE,REBIO,2024,30,6,265.827,2.65827,1.329135,4.514214131747339,1.8357804135772513
ENGENHO,NEAR_REBIO,2025,247,58,430.834,4.30834,17.735999666666665,3.2701849960567024,1.3802435983356565
ENGENHO,NEAR_REBIO,2023,87,13,430.834,4.30834,6.2470930000000005,2.0809678997895498,1.0692973515841686
VIDAL,NEAR_REBIO,2024,65,7,391.929,3.9192899999999997,4.245897499999999,1.6486502559235123,0.5087263646849696
PEDRA DO ELEFANTE,REBIO,2022,56,4,265.827,2.65827,2.481052,1.612219332766907,0.1370386432851871
RANCHO NORTE,REBIO,2024,111,19,702.405,7.02405,12.9944925,1.4621579103608702,0.4263344643894327
DESERTA SUL,REBIO,2025,119,7,430.746,4.30746,8.543129,0.8193719186494783,0.11237100598621418
VIDAL,NEAR_REBIO,2023,138,6,391.929,3.9192899999999997,9.014366999999998,0.6656041405902379,0.2418361710811198
ENGENHO,NEAR_REBIO,2022,30,1,430.834,4.30834,2.15417,0.4642159161068996,0.04642159161068996
ENSEADA DO LILI,REBIO,2025,103,5,634.057,6.3405700000000005,10.884645166666667,0.4593627007072394,0.04042391766223707
FAROL,NEAR_REBIO,2023,186,7,561.107,5.61107,17.394317,0.4024302880072842,0.1678709201401814
VIDAL,NEAR_REBIO,2025,120,3,391.929,3.9192899999999997,7.838579999999999,0.38272238083938676,0.1581919174136132
SAQUINHO DAGUA,REBIO,2024,110,2,289.082,2.8908199999999997,5.299836666666666,0.3773701202112518,0.015094804808450074
COSTAO DO SACO DAGUA,REBIO,2024,259,6,433.933,4.33933,18.731441166666666,0.3203170512409496,0.18898706023216028
FAROL,NEAR_REBIO,2025,125,3,561.107,5.61107,11.689729166666668,0.2566355436663595,0.025663554366635956
DESERTA SUL,REBIO,2023,69,1,430.746,4.30746,4.9535789999999995,0.20187424082668312,0.020187424082668312
